

order_id,order_date,product,category,quantity,price
2001,2023-01-01,Notebook,Stationery,2,2.50
2002,2023-01-01,Pen,Stationery,5,0.80
2003,2023-01-02,Mouse,Electronics,1,12.99
2004,2023-01-02,USB Cable,Electronics,2,4.50
2005,2023-01-03,Coffee,Pantry,3,3.20
2006,2023-01-03,Markers,Stationery,4,1.20
2007,2023-01-04,Keyboard,Electronics,1,24.99
2008,2023-01-04,Stapler,Stationery,1,5.50
2009,2023-01-05,Headphones,Electronics,1,39.99
2010,2023-01-05,Tea,Pantry,6,2.10
2011,2023-01-06,Notebook,Stationery,3,2.50
2012,2023-01-06,Pen,Stationery,10,0.80
2013,2023-01-07,Mouse,Electronics,1,12.99
2014,2023-01-07,USB Cable,Electronics,1,4.50
2015,2023-01-08,Coffee,Pantry,5,3.20
2016,2023-01-08,Markers,Stationery,2,1.20
2017,2023-01-09,Keyboard,Electronics,1,24.99
2018,2023-01-09,Stapler,Stationery,2,5.50
2019,2023-01-10,Headphones,Electronics,1,39.99
2020,2023-01-10,Tea,Pantry,4,2.10
2021,2023-01-11,Notebook,Stationery,4,2.50
2022,2023-01-11,Pen,Stationery,8,0.80
2023,2023-01-12,Mouse,Electronics,2,12.99
2024,2023-01-12,USB Cable,Electronics,3,4.50
2025,2023-01-13,Coffee,Pantry,2,3.20
2026,2023-01-13,Markers,Stationery,6,1.20
2027,2023-01-14,Keyboard,Electronics,1,24.99
2028,2023-01-14,Stapler,Stationery,1,5.50
2029,2023-01-15,Headphones,Electronics,1,39.99
2030,2023-01-15,Tea,Pantry,5,2.10
2031,2023-02-01,Notebook,Stationery,2,2.50
2032,2023-02-01,Pen,Stationery,12,0.80
2033,2023-02-02,Mouse,Electronics,1,12.99
2034,2023-02-02,USB Cable,Electronics,2,4.50
2035,2023-02-03,Coffee,Pantry,4,3.20
2036,2023-02-03,Markers,Stationery,3,1.20
2037,2023-02-04,Keyboard,Electronics,1,24.99
2038,2023-02-04,Stapler,Stationery,1,5.50
